OFFSET;-40;0
SCALE;3;
L_ARROW;116 42;80 90
N_1;204 42;80 90
N_2;297 42;80 90
N_3;387 42;80 90
N_4;485 42;80 90
N_5;575 42;80 90
N_6;670 42;80 90
N_7;762 42;80 90
N_8;862 42;80 90
N_9;950 42;80 90
N_0;1045 42;80 90
PLUS;1140 42;80 90
MINUS;1230 42;80 90
LIRA;1325 42;80 90
CLR_HOME;1420 42;80 90
INST_DEL;1520 42;80 90
CTRL;118 140;121 72
Q;247 140;80 90
W;336 140;80 90
E;433 140;80 90
R;525 140;80 90
T;620 140;80 90
Y;718 140;80 90
U;808 140;80 90
I;904 140;80 90
O;996 140;80 90
P;1090 140;80 90
AT;1184 140;80 90
STAR;1280 140;80 90
EXP;1373 140;80 90
RESTORE;1470 140;130 95
RUN_STOP;86 228;80 90
A;270 228;80 90
S;360 228;80 90
D;455 228;80 90
F;550 228;80 90
G;642 228;80 90
H;736 228;80 90
J;830 228;80 90
K;924 228;80 90
L;1020 228;80 90
COLON;1112 228;80 90
SEMICOL;1210 228;80 90
EQUAL;1302 228;80 90
RETURN;1410 228;177 71
OFFSET;0;0
CBM;42 330;80 90
L_SHIFT;134 330;134 90
Z;274 330;80 90
X;368 330;80 90
C;460 330;80 90
V;556 330;80 90
B;650 330;80 90
N;744 330;80 90
M;840 330;80 90
COMMA;938 330;80 90
PERIOD;1028 330;80 90
SLASH;1124 330;80 90
R_SHIFT;1218 330;134 90
CRSR_UD;1358 330;80 90
CRSR_LR;1452 330;80 90
SPACE;292 428;850 90
F1;1664 60;146 78
F3;1664 158;146 78
F5;1664 250;146 78
F7;1664 340;146 78
